ID,Date,Callsign,Type,Status,Aircraft,Capt,CoPilot,Rating,From_Loc,To_Loc,ETD,ETA,ATD,ATA,Sector,Exer,Level,ADC,IFF,No_OS,Route,POB,Remarks,Traffic_Category
1,2026-03-05,950,Local,Takeoff/Landing,MI17,,,,,,,,,,,,,,,,,,,
2,2026-03-05,MI17,LOCAL,COMPLETED,,,,,,,,,00:46,00:46,,,80.0,,,,,,[GUEST] Start Up | [GUEST] Taxi | [GUEST] Line Up | [GUEST] Airborne,
3,2026-03-05,950,SU30,CANCELLED,,GJVG,GGCHG,V,,,1100.0,,,,N,IP,142.0,244.0,2222.0,,,,[GUEST] CANCELLED,
4,2026-03-05,955,ARRIVAL,COMPLETED,,,,,,,,,,01:01,,,,,,,,,[GUEST] Landed,
5,2026-03-05,955,DEPARTURE,COMPLETED,,,,,,,,,01:06,,,,,,,,,,[GUEST] Start Up | [GUEST] Taxi | [GUEST] Line Up | [GUEST] Airborne,
6,2026-03-05,952,SU25,CANCELLED,,DFTGF,DHGD,F,,,1100.0,,,,N,IF,140.0,,,,,,[GUEST] CANCELLED,
7,2026-03-05,952,LOCAL,CANCELLED,,,,,,,,,,,,,,,,,,,[GUEST] CANCELLED,
8,2026-03-05,952,LOCAL,CANCELLED,,,,,,,,,,,,,,,,,,,[GUEST] CANCELLED,
9,2026-03-05,955,MI17,CANCELLED,,,,,,,,,,,,,,,,,,,[GUEST] CANCELLED,LOCAL
10,2026-03-05,955,MI17,COMPLETED,,,,,,,,,01:24,01:24,,,,,,,,,[GUEST] Start Up | [GUEST] Start Up | [GUEST] Taxi | [GUEST] Line Up | [GUEST] Airborne | [GUEST] Airborne | [GUEST] Airborne | [GUEST] Landed,LOCAL
11,2026-03-05,455,MI172,COMPLETED,,DDHG,HHDHD,TF,,,1120.0,,,01:32,F,OF,140.0,,,,,,[GUEST] Landed,LOCAL
12,2026-03-05,455,MI172,CANCELLED,,,,,,,,,,,,,,,,,,,[GUEST] CANCELLED,LOCAL
13,2026-03-05,455,MI172,CANCELLED,,,,,,,,,,,,,,,,,,,[GUEST] CANCELLED,LOCAL
14,2026-03-05,222,MI555,CANCELLED,,,,,,,,,01:37,,,,,,,,,,[GUEST] Start Up | [GUEST] Taxi | [GUEST] Line Up | [GUEST] Airborne | [GUEST] Taxi Back | [GUEST] CANCELLED,LOCAL
15,2026-03-05,555,ATR76,CANCELLED,,,,,,,,,,,,,,,,,,,[GUEST] CANCELLED,LOCAL
16,2026-03-05,555,ATR76,COMPLETED,,,,,,,,,,01:49,,,,,,,,,[GUEST] Landed,ARRIVAL
17,2026-03-05,GFH,CVBN,COMPLETED,,,,,,,,1200.0,,12:31,,,,,,,,,[GUEST] Landed,ARRIVAL
18,2026-03-05,GFH,CVBN,COMPLETED,,,,,,,1100.0,,,,,,,,,,,,[GUEST] Start Up | [GUEST] Taxi | [GUEST] Line Up,DEPARTURE
19,2026-03-05,111,CVBN,ACTIVE,,,,,,,,,,,,,,,,,,,,LOCAL
20,2026-03-05,112,CVBN,ACTIVE,,,,,,,,,,,,,,,,,,,,LOCAL
21,2026-03-05,113,CVBN,PLANNED,,,,,,,,,,,,,,,,,,,,LOCAL
22,2026-03-05,114,CVBN,PLANNED,,,,,,,,,,,,,,,,,,,,LOCAL
23,2026-03-05,115,CVBN,CANCELLED,,,,,,,,,,,,,,,,,,,[] CANCELLED,LOCAL
24,2026-03-05,116,CVBN,CANCELLED,,,,,,,,,,,,,,,,,,,[] CANCELLED,LOCAL
25,2026-03-05,123,ABC,COMPLETED,,HJH,HJJU,,,,,,13:27,13:27,,,,,,,,,[] Start Up | [] Taxi | [] Line Up | [] Airborne | [] Landed,LOCAL
26,2026-03-05,VTSKE,MI172,ACTIVE,,,,,,,,,,,,,,,,,,,[GUEST] Start Up | [GUEST] Taxi | [GUEST] Line Up | [GUEST] Taxi Back,DEPARTURE
27,2026-04-29,555,SU30,COMPLETED,,,,,,,,,06:30,06:30,,,,,,,,,[ANIL] Start Up | [ANIL] Taxi | [ANIL] Line Up | [ANIL] Airborne | [ANIL] Landed,LOCAL
28,2026-04-29,221,MI17,COMPLETED,,,,,,,,,,06:31,,,,,,,,,[ANIL] Landed,ARRIVAL
29,2026-05-06,GRTYT,YJYTJYT,ACTIVE,,,,,,,,,,,,,,,,,,,,LOCAL
